epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46023,1.14608,2.9713,1.23601,0.00333,1,0.84365,0.61894,0.7998,3.08301,0.92063,0.00034,0.00034,0.00034
2,14.9587,1.05261,1.8158,1.06357,1,0.18323,0.78352,0.57542,0.92312,3.03031,0.96177,0.0006769,0.0006769,0.0006769
3,20.3519,1.00688,1.64777,1.08256,0.83158,0.67058,0.84425,0.57684,1.06277,2.6027,1.05815,0.00099004,0.00099004,0.00099004
4,26.9919,1.05321,1.55989,1.10659,0.79057,0.5127,0.68126,0.48102,1.02239,2.6285,1.03538,0.00127942,0.00127942,0.00127942
5,32.1132,1.07289,1.5131,1.12761,0.62253,0.40741,0.46531,0.29154,1.01408,3.0543,1.11836,0.00154504,0.00154504,0.00154504
6,38.3293,1.13886,1.48013,1.16083,0.70047,0.79012,0.76059,0.53386,0.96269,2.24097,1.13317,0.00167,0.00167,0.00167
7,43.46,1.07609,1.29345,1.12169,0.90307,0.92019,0.95246,0.70461,0.9169,1.57055,1.05712,0.001604,0.001604,0.001604
8,49.565,1.01701,1.23086,1.12773,0.79886,0.83361,0.86633,0.62622,0.9252,1.44646,1.01023,0.001538,0.001538,0.001538
9,54.905,1.03106,1.155,1.10478,0.93596,0.90213,0.95748,0.74562,0.88108,1.20303,1.02238,0.001472,0.001472,0.001472
10,60.0492,0.9996,1.15695,1.07314,0.90783,0.97283,0.97141,0.75212,0.82824,1.01158,0.97062,0.001406,0.001406,0.001406
11,66.3495,0.95936,1.04942,1.07429,0.95038,0.94597,0.98435,0.75262,0.86558,0.93159,0.97497,0.00134,0.00134,0.00134
12,71.7307,0.96794,1.02003,1.0904,0.9294,0.97531,0.98187,0.79835,0.79858,0.88279,0.97385,0.001274,0.001274,0.001274
13,78.0138,0.97143,0.96036,1.1016,0.947,0.96296,0.9714,0.77027,0.77878,0.84916,0.95503,0.001208,0.001208,0.001208
14,83.3496,0.90562,0.90134,1.06346,0.95054,0.97531,0.97357,0.77832,0.78896,0.78371,0.95845,0.001142,0.001142,0.001142
15,89.7866,0.88181,0.8623,1.03028,0.9753,0.97479,0.9748,0.77886,0.80996,0.72176,0.98355,0.001076,0.001076,0.001076
16,95.0048,0.86508,0.81703,1.03539,0.97224,0.97531,0.97496,0.78391,0.76475,0.73403,0.95793,0.00101,0.00101,0.00101
17,100.726,0.89087,0.81621,1.05602,0.98731,0.96019,0.97457,0.80222,0.72993,0.66051,0.95576,0.000944,0.000944,0.000944
18,106.399,0.86109,0.78389,1.02822,1,0.94718,0.97499,0.79892,0.72802,0.66998,0.93316,0.000878,0.000878,0.000878
19,111.687,0.87338,0.75383,1.03001,0.96332,0.97531,0.98087,0.78201,0.79944,0.62924,0.95462,0.000812,0.000812,0.000812
20,118.035,0.82647,0.73833,0.98275,0.97538,0.97837,0.98474,0.79316,0.71319,0.58366,0.9319,0.000746,0.000746,0.000746
21,124.628,0.70762,0.68811,0.93842,0.98717,0.95007,0.98253,0.79103,0.75893,0.59824,0.95647,0.00068,0.00068,0.00068
22,130.667,0.71615,0.67721,0.94203,0.99612,0.95062,0.98399,0.8131,0.72609,0.56109,0.94687,0.000614,0.000614,0.000614
23,135.536,0.71844,0.66276,0.96722,0.96704,0.97531,0.98338,0.80713,0.69956,0.55194,0.94593,0.000548,0.000548,0.000548
24,141.582,0.72146,0.66295,0.9656,0.97394,0.98765,0.98558,0.83036,0.684,0.51055,0.93539,0.000482,0.000482,0.000482
25,146.47,0.65799,0.62316,0.9304,0.96323,0.98765,0.98469,0.82468,0.6489,0.49047,0.92022,0.000416,0.000416,0.000416
26,151.396,0.65274,0.57002,0.91533,0.96374,0.98435,0.98555,0.83768,0.63155,0.46787,0.89426,0.00035,0.00035,0.00035
27,157.103,0.63113,0.56847,0.90824,0.96372,0.98389,0.98608,0.82848,0.6549,0.47729,0.89279,0.000284,0.000284,0.000284
28,161.913,0.61695,0.54452,0.90556,0.97444,0.98765,0.98583,0.84161,0.63183,0.4655,0.88656,0.000218,0.000218,0.000218
29,167.751,0.62191,0.56605,0.91822,0.97435,0.98765,0.9853,0.84441,0.60931,0.44683,0.87785,0.000152,0.000152,0.000152
30,172.675,0.58808,0.54353,0.89526,0.97402,0.98765,0.98504,0.85376,0.5959,0.43589,0.87696,8.6e-05,8.6e-05,8.6e-05
